
 RUN  v4.1.10 /Users/johnnynguyen/Documents/Repos/Banhall/.factory/worktrees/pd-sweep-validation

 ✓ |convex| convex/lib/readBudget.test.ts > createReadBudget (DW-133) > reads an exhausted range completely 4ms
 ✓ |convex| convex/learningHealth.test.ts > learning health persisted metrics > zero attempts stays unavailable; measured successes produce genuine zero fallback rate 2ms
 ✓ |convex| convex/learningHealth.test.ts > learning health persisted metrics > capped rerank rate uses the oldest observed cohort and discloses its bounds 61ms
 ✓ |convex| convex/learningHealth.test.ts > learning health persisted metrics > caps all top-level populations with honest partial flags 207ms
 ✓ |convex| convex/learningHealth.test.ts > learning health persisted metrics > detects exact cap versus cap+1 on report, candidate and writer-review joins and provenance 30ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > lists transcripts first, reads a digest-read transcript as condensed and skips digest/storyline rows 3ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > reads an excluded digest as not included and an unrecorded digest as no status 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > lists archived and unreadable documents as not included with their reason 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > reports recorded only when a frozen row carries a budget outcome 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > lists a readable document the reservation never captured 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > gives a legacy row (no inclusion, no budget) a null status, never included 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > derives a status from a recorded budget when the inclusion field is absent 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > takes the largest recorded cap, or the fallback when none is recorded 0ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > excludes transcripts from both counts 1ms
 ✓ |convex| convex/lib/contextInclusion.test.ts > assembleContextInclusion (story 4, CAP-11) > carries the truncation flags through, defaulting to a complete listing (DW-133) 1ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > label maps use the glossary words 2ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > inclusionHeader counts documents against the cap 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > inclusionHeader qualifies a truncated total with the bounded-count plus (DW-133) 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > inclusionStatusText never words an unrecorded row and appends the reason 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > groupBrief sorts entries into the rail groups and surfaces only open questions 1ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > changeSummary reads 'N added · N removed' only when something changed 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > entryOrigin is edited only for a writer-changed entry 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > sourceChipLabel names the source and says digest for a condensed digest 0ms
 ✓ |src| src/lib/brief.test.ts > Brief rail helpers (story 4) > offerSentence and offerHref build the save-settings banner 0ms

 Test Files  6 passed (6)
      Tests  63 passed (63)
   Start at  13:04:49
   Duration  6.97s (transform 2.46s, setup 0ms, import 2.15s, tests 9.01s, environment 596ms)

