ts	phase	decision	why	evidence	result
2026-09-05T06:31:13.949846+00:00	final-review-patch	Preserve immutable full raw and sanitized snapshots	Operational excerpt selection must not modify source evidence	convex/learning.test.ts:1713	Implemented and covered by final-patch gates
2026-09-05T06:31:13.949873+00:00	final-review-patch	Associate each feedback pair with a stable answer DOM ID	Multiple answer controls need distinct accessible associations	src/lib/components/chat/AssistantTurn.svelte:65	Implemented and covered by final-patch gates
2026-09-05T06:31:13.949883+00:00	final-review-patch	Use fixed industry-scoped empty-result copy	Preserve the safe scope distinction without exposing raw industry names or directives	src/lib/chat/turnParts.ts:321	Implemented and covered by final-patch gates
2026-09-05T06:31:13.949891+00:00	final-review-patch	Require actual panel remount for query-error recovery and distinct multi-step answer text	Browser tests must demonstrate the real recovery action and precise feedback placement	src/lib/components/chat/ChatFeedback.component.test.ts:96	Implemented and covered by final-patch gates
2026-09-05T06:34:45.488688+00:00	final-review-patch	Test the actual merged same-order answer and reject artificial user interleaving	Installed agent normalization merges adjacent same-order assistant records; no separate early/final containers exist	.audit/CAP-7-story-5/final-patch-agent-merge-evidence.json	Parent directed rejection of separate-container finding; one control references the actual merged answer
2026-09-05T06:37:33.805054+00:00	review	Review repair verification	All matrix rows retain executed coverage after protocol/snapshot re-derivation	.audit/CAP-7-story-5/parent-repair-focused.log	110 focused; 346 browser; 1898 unit; type gates passed
2026-09-05T06:37:33.805234+00:00	review	Bound chat learning selection	Keep database reads and provider contribution bounded without altering independent diversity rules	convex/chatFeedback.ts:13	20 newest records; 500/1000-character sanitized excerpts; exact provenance tested
2026-09-05T06:37:33.805238+00:00	review	Reject separate-container assertion	Actual agent normalization merges valid adjacent assistant rows; artificial interleaving would not prove the real surface	.audit/CAP-7-story-5/final-patch-agent-merge-evidence.json	Keep real merged-answer placement coverage
2026-09-05T06:37:33.805240+00:00	review	Review pass 2 triage	Five actionable patches; nine findings unsupported by reachable behavior, existing safeguards, or material regression	_bmad-output/specs/spec-ai-engine-sprint-2-learn-chat/stories/5-chat-answer-feedback-and-brain-source-chips.md	medium2 low3; followup score9
2026-09-05T06:47:31.093723+00:00	review	Use page-refresh recovery guidance	Project shells hide chat without unmounting its subscription	src/lib/components/project/CurrentProjectPage.svelte:1360	Copy and remount assertion aligned
2026-09-05T06:47:31.094074+00:00	review	Preserve Unicode code points in stored snapshots	UTF-16 truncation split a supplementary character	convex/chatFeedback.test.ts:165	Regression failed before fix and passed after
2026-09-05T06:47:31.094078+00:00	review	Keep routine screenshots outside committed evidence	Canonical component suite changed the audit PNG	src/lib/components/chat/ChatFeedback.component.test.ts:51	Screenshot output moved to ignored attachments
2026-09-05T06:47:31.094080+00:00	review	Verify actual subscription lifecycle	Argument snapshots cannot detect effect teardown	src/lib/components/chat/FeedbackSubscription.component.test.ts:24	Installed hook used with controlled external transport
2026-09-05T06:54:44.717962+00:00	review	Preserve Unicode code points in source labels	Prevent split supplementary characters while retaining bounded metadata	/tmp/story5-final-gates/unicode-before.log	Regression failed before fix and focused suite passed after fix
2026-09-05T06:54:44.717962+00:00	review	Refresh worst-case Unicode and revision-specific evidence	Four-byte code points define the current snapshot limit; historical manifests remain attributable	.audit/CAP-7-story-5/review-20260904-files.json	Protected modules and ledger match baseline
