unit	finding	severity	category	basis
Q4	blind-7	medium	patch	Q4/review-triage.md finding 7; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-8	low	reject	Q4/review-triage.md finding 8; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-9	low	patch	Q4/review-triage.md finding 9; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-10	low	patch	Q4/review-triage.md finding 10; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-11	low	reject	Q4/review-triage.md finding 11; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-12	low	patch	Q4/review-triage.md finding 12; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-13	low	patch	Q4/review-triage.md finding 13; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-14	medium	patch	Q4/review-triage.md finding 14; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-1	medium	patch	Q5/review-triage.md finding 1; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-2	low	patch	Q5/review-triage.md finding 2; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-3	medium	patch	Q5/review-triage.md finding 3; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-4	low	patch	Q5/review-triage.md finding 4; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-5	low	reject	Q5/review-triage.md finding 5; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-6	low	patch	Q5/review-triage.md finding 6; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-7	low	patch	Q5/review-triage.md finding 7; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-8	low	patch	Q5/review-triage.md finding 8; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-9	medium	patch	Q5/review-triage.md finding 9; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-10	medium	patch	Q5/review-triage.md finding 10; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q5	blind-11	medium	patch	Q5/review-triage.md finding 11; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
